period,lost,eligible,rate
1,1,9,11.11111111111111
2,1,8,12.5
3,5,13,38.46153846153847
4,1,7,14.285714285714285
5,4,12,33.33333333333333
6,1,10,10.0
7,3,14,21.428571428571427
8,5,12,41.66666666666667
9,1,12,8.333333333333332
10,1,8,12.5
